Name;Description;Sources;Search term used
1001 Lakes;"""Modern, data-driven organizations, products and partnerships require a solid and thought-through foundation that has a grounding on solid business logic, well-designed legal framework that secures the interest of relevant stakeholders, and a fit-for-purpose technological solution that enables timely availability of relevant data with good-enough quality.  """;"SEMIC Workshop
https://1001lakes.com/";"""Data ecosystem"""
AGDATAHUB;"""Whether you are a cooperative, a trader, an AgriTech start-up, an agri-supplier, a chamber of agriculture, a technical institute or an agri-food industrialist, a public body or a local authority, agricultural data is now, and will be even more so tomorrow, at the heart of your activities. From the digital identity of farms to the development of agricultural data, including consent management, interconnection and secure data exchange, our CONSENT and EXCHANGE core services and our Capdata customised support offer meet your needs and are at the heart of the agricultural data value chain.""";https://agdatahub.eu/en/;"""Data Space"", Via Gaia-X"
AmDex;"""AMdEX is an innovation fieldlab initiated by AMS-IX, SURF, UvA, DEXES & Amsterdam Economic Board and co-funded by the European Regional Development Fund. In this fieldlab parties collaborate to develop and test trusted, fair and scalable technologies to support the emergence of datamarkets in which its members can freely decide with whom to interact and under which conditions.""";https://amdex.eu/;"""Data marketplace"""
HR-domain MVP by Athumi;"""We are a newly public company bound by a statutory mandate to process personal and sensitive corporate data in a smart and secure way, ensuring that all who share their data through our services and partners retain full control and transparency."" ""Our products and solutions allow private companies to engage in swift and safe data collaboration. New data-driven ecosystems and cross-sectoral innovations are emerging due to our innovative datatech and legaltech solutions.""";"Meetings, events & collaborations 
https://athumi.be/en/";"""Data ecosystem"""
Atrias;"""Atrias ondersteunt de ontwikkeling van de vrije Belgische energiemarkt op distributieniveau en fungeert als de centrale naaf in de informatievoorziening. Atrias cv is een gezamenlijk initiatief van de vier grootste distributienetbeheerders van België: Fluvius, ORES, Sibelga en RESA""";https://www.atrias.be/;"""Data intermediary"""
AWS Data Exchange;"""AWS Data Exchange is on a mission to increase speed to value for third-party data sets in the cloud.There is no other place where customers can find data files, data tables, and data APIs from a vast portfolio of third-party data sets. We continuously innovate to make the world's third-party data easy to find in one data catalog, simple to subscribe to with consistent pricing options, and seamless to use with AWS data and analytics and machine learning services. """;https://aws.amazon.com/data-exchange/;"""Data broker/marketplace"""
AWS Glue;"""AWS Glue is a serverless data integration service that makes it easier to discover, prepare, move, and integrate data from multiple sources for analytics, machine learning (ML), and application development.""";https://aws.amazon.com/glue/;"""Data integration"""
Axciom;"""Acxiom is a customer intelligence company that provides data-driven solutions to enable the world’s best marketers to better understand their customers to create better experiences and business growth.""";https://www.acxiom.com/;"""Data management"" ""Data analytics"""
Aztrix;"""Aztrix* gathers everything you want to share under one link. Show off your versatility and create your own digital space with Aztrix*. Aztrix* collects all the information you want to share under one link. So, when you create your Aztrix* profile, you decide what you put on there. Think of it as an online business card, or your very own online living room.""";"Meeting
https://aztrix.me/";"""Data sharing"" ""Data management"""
Blacktigerbelgium;"""Imagine a Data Platform developed especially for you, responding to what you want to do in terms of marketing, sales, after-sales activities… All this with reliable, compliant, real-time data. This is what the Black Tiger Master Data Platform offers.""";https://www.blacktigerbelgium.tech/;"""Data management"""
Bobsled;"""Any data, ?any cloud, ?any platform. Bobsled is built on each platform’s sharing protocol to bring data providers the security and ease of modern sharing without the pain and complexity of multi-cloud management.""";https://www.bobsled.co/;"""Data sharing"""
Catena-X;"""Catena-X is the first collaborative, open data ecosystem for the automotive industry of the future, linking global players into end-to-end value chains - as simply, securely and independently as never before. The shared goal: a standardized global data exchange based on European values. The claim is data sovereignty. Participation is rewarded with above-average resilience, innovative strength and earnings opportunities. And Catena-X is open! Other industries and ecosystems can be integrated at any time.""";https://catena-x.net/en/;"""Data Space"", Via Gaia-X"
Census;"""Census is the first Data Activation platform built on your warehouse. Sync 360° customer data to 150+ business tools today with Reverse ETL. Empower marketing teams to build dynamic audiences with a no-code segment builder.""";https://www.getcensus.com/;"""Data integration"" ""ETL"""
Chaossearch;"""The ChaosSearch Cloud Data Platform indexes your cloud data, enabling search, SQL and machine learning workloads with infinite scale, lower cost, no data movement, and faster time to insights. Activate Your Data Lake and Gain Insight in Minutes.""";https://www.chaossearch.io/;"""Data analytics"""
Cognizant;"""Wherever you are on your journey—from aggregating the vast points of data to building sophisticated AI models—Cognizant will meet you there. With our offerings you will harness the power of data and AI to drive faster, predictive and proactive decisioning, all while educating the organization on the path forward.""";"https://www.cognizant.com/us/en/glossary/data-ecosystem
https://www.cognizant.com/us/en/services/ai";"""Data ecosystem"""
Copernicus;"""The Copernicus Data Space Ecosystem is the next step in the evolution of Earth observation data access. The Ecosystem aims to gather tools and resources to unlock the full potential of this data. This allows to build a thriving, open and expanding Ecosystem to increase the impact of Earth Observation data for a sustainable society.""";https://dataspace.copernicus.eu/ecosystem;"""Data ecosystem"""
CozyCloud;""" A smart personal cloud to gather all your data Cozy Cloud offers everyone a smart digital home, Cozy that combines comfort and security for more services.
With Cozy, change the rules and become the only one that control your data. """;https://cozy.io/en/;"""Personal data storage/management"""
