Name,Stage,Ecossytem scope,Main service offering,Openness,Data access,Initiator goal,Remarks
Enhansa,pilot cases,Application domain,Clearinghouse,Open,Application independence,Data sharing,
Trustbuilder,licencing product,Cross-domain,Access granting mechanisms,Open,Application independence,Data sharing,
DocByte,licencing product,Single organisation,Regulation compliance,Closed,Siloed,Privacy protection,
VSDS,pilot cases,Cross-domain,Data standardisation,Open,Application independence,Data sharing,
Gaia-X,non-pilot cases,Application domain,Governance tools/Auditing,Open,Siloed/Application independence,Data sharing,
HR-domain MVP by Athumi,pilot cases,Application domain,Infrastructure/Governance tools,Open,Application independence,Data sharing,
JobTech,pilot cases,Cross-domain,Data-as-a-service,Open,Application independence,Data sharing,
Atrias,non-pilot cases,Application domain,Data-as-a-service,Closed,Siloed,Data sharing,odd-one-out as there is only one use case but it is in operation and there are no plans for other use cases
Yuso,non-pilot cases,Application domain,Governance tools,Open,Application independence,Data sharing,
DataVaults.eu,pilot cases,Cross-domain,Data standardisation/Governance tools,Open,Application independence,Data sharing,
Trusts-data.eu,conceptual stage,Cross-domain,Governance tools,Open,Application independence,Data sharing,
Visionpol.eu,non-pilot cases,Application domain,Access granting mechanisms/Governance tools,Open,Application independence,Data sharing,
1001 Lakes,conceptual stage,Application domain,Consultancy,Open,Application independence,Data sharing,
iGrant.io,pilot cases,Cross-domain,Access granting mechanisms/Governance tools,Open,Application independence,Data sharing,
Meeco,licencing product,Cross-domain,Infrastructure,Open,Application independence,Data sharing,
Snowflake Platform,licencing product,Single organisation,Data-as-a-service/Software-as-a-service,Closed,Siloed,Data sharing,
Snowflake Marketplace,licencing product,Cross-domain,Data broker,Open,Siloed,Data sharing,
Nokia Data Marketplace,licencing product,Cross-domain,Data broker,Open,Siloed,Data sharing,
Dawex,pilot cases,Application domain,Software-as-a-service/Access granting mechanisms,Open,Siloed/Application independence,Data sharing,
Aztrix,licencing product/subscription model,Cross-domain,Access granting mechanisms,Open,Application independence,Data sharing,
Microsoft Entra,licencing product,Cross-domain,Access granting mechanisms,Open,Application independence,Data sharing,
IBM App Connect,licencing product,Single organisation,Data-as-a-service/Software-as-a-service,Closed,Siloed,Data sharing,
AWS Data Exchange,licencing product,Cross-domain,Data broker,Open,Siloed,Data sharing,
AWS Glue,licencing product,Single organisation,Data-as-a-service/Data standardisation,Closed,Siloed,Data sharing,
Oracle GoldenGate,licencing product,Single organisation,Data-as-a-service/Data standardisation,Closed,Siloed,Data sharing,
HubSpot Operations,licencing product,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
Census,licencing product,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Qlik,licencing product,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
Keboola,licencing product,Single organisation,Data-as-a-service/Data standardisation,Closed,Siloed,Data sharing,
SnapLogic,licencing product,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Integrate.io,licencing product,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Investdata.be,pilot cases?,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Public Spaces,conceptual stage,Application domain,Governance tools,Open,Application independence,Privacy protection,
PubHubs,conceptual stage,Application domain,Infrastructure,Open,Application independence,Privacy protection,
AmDex,pilot cases,Cross-domain,Governance tools,Open,Application independence,Data sharing,
Impaqtr,licencing product,Application domain,Data analytics,Open,Siloed,Data sharing,
RetailSonar,licencing product,Single organisation,Data analytics,Closed,Siloed,Data sharing,
Cross Media SND,conceptual stage,Cross-domain,Infrastructure/Governance tools,Open,Application independence,Data sharing,
EuroPrivacy,conceptual stage,Cross-domain,Regulation compliance,Open,Application independence,Data sharing,
MAGDA,licencing product,Single organisation,Data-as-a-service/Clearinghouse,Closed,Siloed,Data sharing,
EBSI Verifiable Credentials,pilot cases,Cross-domain,Infrastructure,Open,Application independence,Data sharing,
CozyCloud,licencing product,Cross-domain,Data-as-a-service/Access granting mechanisms,Open,Application independence,Data sharing,
NextCloud,licencing product,Single organisation,Data-as-a-service/Access granting mechanisms,Closed,Application independence,Data sharing,
MyDex,licencing product/subscription model,Cross-domain,Data-as-a-service/Access granting mechanisms,Open,Application independence,Data sharing,Although they seem to have an operational product only conceptual/generic use case information can be found
Databroker.global,licencing product,Cross-domain,Data broker,Open,Application independence,Data sharing,
Nielsen,licencing product,Single organisation,Data analytics,Closed,Siloed,Data sharing,
Experianplc,licencing product,Single organisation,Data analytics,Closed,Siloed,Data sharing,
Axciom,licencing product,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
Dropbox,licencing product,Cross-domain,Infrastructure/Acces granting mechanisms,Open,Siloed,Data sharing,Cross-domain but targetted at sharing files rather than machine-readable data
OneDrive,licencing product,Cross-domain,Infrastructure/Acces granting mechanisms,Open,Siloed,Data sharing,Cross-domain but targetted at sharing files rather than machine-readable data
Google Drive,licencing product,Cross-domain,Infrastructure/Acces granting mechanisms,Open,Siloed,Data sharing,Cross-domain but targetted at sharing files rather than machine-readable data
ItsMe,licencing product,Cross-domain,Access granting mechanisms,Open,Application independence,Data sharing,
Catena-X,pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
Prometheus-X,pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
iShare,pilot cases,Application domain,Governance tools,Open,Application independence,Data sharing,
Fiware,non-pilot cases,Application domain,Software-as-a-service,Open,Application independence,Data sharing,
Digita,pilot cases,Cross-domain,Access granting mechanisms/Infrastructure,Open,Application independence,Data sharing,
Datavillage,pilot cases,Cross-domain,Data analytics/Access granting mechanisms,Open,Application independence,Data sharing,
Konsolidate,pilot cases,Cross-domain,Consultancy,Open,Application independence,Data sharing,
Inrupt,licencing product,Cross-domain,Infrastructure/Acces granting mechanisms,Open,Application independence,Data sharing,
AGDATAHUB,licencing product/subscription,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
ELINOR-X,conceptual stage,Cross-domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
EONA-X,conceptual stage,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
European Production Giganet ,pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
GAIA-X4 Future Mobility,pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
Mobility Data Space (MDS),non-pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
Omega-X,conceptual stage,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
Smart Connected Supplier Network (SCSN),non-pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
Structura-X,pilot cases,Application domain,Auditing/Governance tools,Open,Application independence,Data sharing,Implementations based on the governance tools of Gaia-X
Cognizant,licencing product,Single organisation,Data analytics,Closed,Siloed,Data sharing,
Copernicus,pilot cases,Cross-domain,Data-as-a-service,Open,Application independence,Data sharing,
Revelate,licencing product,Cross-domain,Data broker,Open,Application independence,Data sharing,
Vendia,licencing product/subscription model,Application domain,Data-as-a-service/Auditing,Closed,Application independence,Data sharing,
Scuba,licencing product/subscription model,Single organisation,Data analytics,Closed,Siloed,Data sharing,
Creates,non-pilot cases,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
GreenDataHub,pilot cases,Application domain,Matchmaking/Data-as-a-service,Open,Application independence,Data sharing,
Simpatico Citizen Data Vault,pilot cases,Cross-domain,Data-as-a-service/Access granting mechanisms,Open,Application independence,Data sharing,
ThingsData,non-pilot cases,Single organisation,Infrastructure/Data analytics,Closed,Siloed,Data sharing,Focus on hardware but also offer to integrate and process the data produced from different sources and types of hardware of the ecosystem of customers of ThingsData's customers
Sogeti,licencing product,Single organisation,Consultancy,Closed,Siloed,Data sharing,
Savaco,licencing product,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Yellowground,non-pilot cases,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Blacktigerbelgium,licencing product,Application domain,Data-as-a-service,Closed,Siloed,Data sharing,have a product for data sharing but unclear if it is integrated in any of their use cases
HPE GreenLake,licencing product,Single organisation,Data analytics,Closed,Siloed,Data sharing,
Element61,non-pilot cases,Single organisation,Consultancy,Closed,Siloed,Data sharing,
Databricks,licencing product,Application domain,Data-as-a-service/Data standardisation,Open,Application independence,Data sharing,have a product for data sharing based on open standards and not requiring the use of the platform for external data or service providers but only one use case for it yet
RawLabs,pilot cases,Cross-domain,Data-as-a-service/Access granting mechanisms,Open,Application independence,Data sharing,altough there is a platform and subscription plan no real information can be found on operational use cases except one
Bobsled,licencing product,Cross-domain,Data-as-a-service/Access granting mechanisms,Open,Application independence,Data sharing,stage unclear no use cases to be found but there is a platform product
Microsoft Azure Data sharing,licencing product/subscription model,Cross-domain,Access granting mechanisms,Open,Siloed,Data sharing,not yet available everywhere and limited cases implemented yet
Opendatasoft,licencing product/subscription model,Cross-domain,Data-as-a-service/Data standardisation,Open,Application independence,Data sharing,Expertise is developing an open data platform
Skyflow,non-pilot cases,Cross-domain,Access granting mechanisms,Open,Application independence,Data sharing,
IDSA,licencing product,Application domain,Governance tools,Open,Application independence,Data sharing,licencing procuct is the standards and certification development as re-usable products
Datacollaboration,pilot cases,Cross-domain,Governance tools,Open,Application independence,Data sharing,
Domo,licencing product/subscription model,Single organisation,Data-as-a-service/Governance tools,Closed,Siloed,Data sharing,
Narrative,licencing product/subscription model,Cross-domain,Data broker,Open,Application independence,Data sharing,limited use case information
Fivetran,licencing product/subscription model,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Mulesoft,licencing product/subscription model,Single organisation,Data-as-a-service,Closed,Siloed,Data sharing,
Chaossearch,licencing product/subscription model,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
Zoho,licencing product/subscription model,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
Mixpanel,licencing product/subscription model,Single organisation,Data-as-a-service/Data analytics,Closed,Siloed,Data sharing,
Echobot,licencing product,Single organisation,Data analytics,Closed,Application independence,Data sharing,
Datarade,licencing product,Cross-domain,Data broker,Closed,Application independence,Data sharing,
Graphmetrix,licencing product/subscription model,Cross-domain,Data-as-a-service/Data standardisation,Open,Application independence,Data sharing,
Mastodon,non-pilot cases,Cross-domain,Infrastructure/Governance tools,Open,Application independence,Privacy protection,
